file	sample	sample_name	condition	replicate
20260211_008_C41079_S1100213_Beads2_Group_2.mzML	C_41079	C_41079	C	41079
20260211_007_C41079_S1100211_NosH3_Group_1.mzML	C_41079	C_41079	C	41079
20260211_005_C41079_S1100214_Beads3_Group_2.mzML	C_41079	C_41079	C	41079
20260211_004_C41079_S1100210_NosH2_Group_1.mzML	C_41079	C_41079	C	41079
20260211_003_C41079_S1100209_NosH1_Group_1.mzML	C_41079	C_41079	C	41079
20260211_002_C41079_S1100212_Beads1_Group_2.mzML	C_41079	C_41079	C	41079
