Protein	Protein ID	Entry Name	Gene	Description	Protein Length	Organism	Protein Existence	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Indistinguishable Proteins	C_41079 Intensity	C_41079 MaxLFQ Intensity	C_41079 Spectral Count	C_41079 Unique Spectral Count	C_41079 Total Spectral Count
A0A068TTJ3	A0A068TTJ3	A0A068TTJ3_COFCA	GSCOC_T00029211001	AB hydrolase-1 domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		164585.0	164585.0	1	1	1
A0A068TTN6	A0A068TTN6	A0A068TTN6_COFCA	GSCOC_T00029262001	Aspergillus nuclease S1	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		246188.0	246188.0	1	1	1
A0A068TTQ9	A0A068TTQ9	A0A068TTQ9_COFCA	GSCOC_T00026616001	Low-temperature-induced 65 kDa protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		276898.0	276898.0	1	1	1
A0A068TTV8	A0A068TTV8	A0A068TTV8_COFCA	GSCOC_T00029373001	16 kDa subunit of oxygen evolving system of photosystem II	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		932112.0	932112.0	1	1	1
A0A068TU09	A0A068TU09	A0A068TU09_COFCA	GSCOC_T00029374001	Thioredoxin domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068TU74;A0A068TUX2;A0A068VGG1	A0A068TU74;A0A068TUX2;A0A068VGG1	A0A068TU74_COFCA;A0A068TUX2_COFCA;A0A068VGG1_COFCA	GSCOC_T00007148001;GSCOC_T00029533001;GSCOC_T00029536001	Nucleoside phosphorylase domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		507013.0	507013.0	1	1	1
A0A068TU76	A0A068TU76	A0A068TU76_COFCA	GSCOC_T00029130001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		462800.0	462800.0	1	1	1
A0A068TUJ4	A0A068TUJ4	A0A068TUJ4_COFCA	GSCOC_T00029276001	Eukaryotic translation initiation factor 3 subunit J	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		674058.0	674058.0	1	1	1
A0A068TUP2	A0A068TUP2	A0A068TUP2_COFCA	GSCOC_T00026083001	Cysteine synthase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068TUT7	A0A068TUT7	A0A068TUT7_COFCA	GSCOC_T00029483001	Carboxypeptidase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		1218900.0	1218900.0	1	1	1
A0A068TV19	A0A068TV19	A0A068TV19_COFCA	GSCOC_T00029890001	Triosephosphate isomerase, cytosolic	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		83212.3	83212.3	1	1	1
A0A068TV19;A0A068ULE2;A0A068TLY0	A0A068TV19;A0A068ULE2;A0A068TLY0	A0A068TLY0_COFCA;A0A068TV19_COFCA;A0A068ULE2_COFCA	GSCOC_T00014146001;GSCOC_T00028243001;GSCOC_T00029890001	Triosephosphate isomerase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		409494.0	409494.0	1	1	1
A0A068TV90	A0A068TV90	A0A068TV90_COFCA	GSCOC_T00032018001	Enoyl reductase (ER) domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068TVC2	A0A068TVC2	A0A068TVC2_COFCA	GSCOC_T00016269001	60S ribosomal protein L23	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		230098.0	230098.0	1	1	1
A0A068TVD8	A0A068TVD8	A0A068TVD8_COFCA	GSCOC_T00032046001	spermidine synthase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		12655.4	12655.4	1	1	1
A0A068TVH6;A0A068UAS5;A0A068UJF7;A0A068UKD5;A0A068VL07	A0A068TVH6;A0A068UAS5;A0A068UJF7;A0A068UKD5;A0A068VL07	A0A068TVH6_COFCA;A0A068UAS5_COFCA;A0A068UJF7_COFCA;A0A068UKD5_COFCA;A0A068VL07_COFCA	GSCOC_T00004241001;GSCOC_T00020403001;GSCOC_T00027164001;GSCOC_T00028168001;GSCOC_T00029825001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		68354.3	68354.3	1	1	1
A0A068TVU0	A0A068TVU0	A0A068TVU0_COFCA	GSCOC_T00029951001	Mitochondrial glycoprotein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		425458.0	425458.0	1	1	1
A0A068TW68	A0A068TW68	A0A068TW68_COFCA	GSCOC_T00032523001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		478374.0	478374.0	1	1	1
A0A068TWH4	A0A068TWH4	A0A068TWH4_COFCA	GSCOC_T00032657001	cysteine--tRNA ligase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		226240.0	226240.0	1	1	1
A0A068TWH4;A0A068UZ65	A0A068TWH4;A0A068UZ65	A0A068TWH4_COFCA;A0A068UZ65_COFCA	GSCOC_T00032657001;GSCOC_T00038528001	cysteine--tRNA ligase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		1627080.0	1627080.0	1	1	1
