Protein	Protein ID	Entry Name	Gene	Description	Protein Length	Organism	Protein Existence	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Indistinguishable Proteins	C_41079 Intensity	C_41079 MaxLFQ Intensity	C_41079 Spectral Count	C_41079 Unique Spectral Count	C_41079 Total Spectral Count
A0A068U289;A0A068U3A1	A0A068U289;A0A068U3A1	A0A068U289_COFCA;A0A068U3A1_COFCA	GSCOC_T00036823001;GSCOC_T00039371001	Isocitrate dehydrogenase [NADP]	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		61486.8	61486.8	1	1	1
A0A068U2E4;A0A068VG90	A0A068U2E4;A0A068VG90	A0A068U2E4_COFCA;A0A068VG90_COFCA	GSCOC_T00001641001;GSCOC_T00040157001	Serine hydroxymethyltransferase-like domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		85596.3	85596.3	1	1	1
A0A068U2N8	A0A068U2N8	A0A068U2N8_COFCA	GSCOC_T00040234001	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		4887.89	4887.89	1	1	1
A0A068U3A1	A0A068U3A1	A0A068U3A1_COFCA	GSCOC_T00039371001	Isocitrate dehydrogenase [NADP]	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		99856.1	99856.1	1	1	1
A0A068U3I4	A0A068U3I4	A0A068U3I4_COFCA	GSCOC_T00040156001	glycine hydroxymethyltransferase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		185936.0	185936.0	1	1	1
A0A068U3I4;A0A068VG90	A0A068U3I4;A0A068VG90	A0A068U3I4_COFCA;A0A068VG90_COFCA	GSCOC_T00001641001;GSCOC_T00040156001	glycine hydroxymethyltransferase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		203674.0	203674.0	1	1	1
A0A068U3L0;A0A068UID1	A0A068U3L0;A0A068UID1	A0A068U3L0_COFCA;A0A068UID1_COFCA	GSCOC_T00027076001;GSCOC_T00041634001	RNA helicase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		238555.0	238555.0	1	1	1
A0A068U3R1	A0A068U3R1	A0A068U3R1_COFCA	GSCOC_T00040298001	allene-oxide cyclase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		115404.0	115404.0	1	1	1
A0A068U3T5	A0A068U3T5	A0A068U3T5_COFCA	GSCOC_T00041661001	Histone-binding protein RBBP4-like N-terminal domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		117548.0	117548.0	1	1	1
A0A068U3Y2	A0A068U3Y2	A0A068U3Y2_COFCA	GSCOC_T00041515001	Peroxiredoxin Q, chloroplastic	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		4818100.0	4818100.0	1	1	1
A0A068U423	A0A068U423	A0A068U423_COFCA	GSCOC_T00041551001	Proteasome subunit alpha type	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		172614.0	172614.0	1	1	1
A0A068U433	A0A068U433	A0A068U433_COFCA	GSCOC_T00041749001	Profilin	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068U455	A0A068U455	A0A068U455_COFCA	GSCOC_T00041788001	Malic enzyme	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		357760.0	357760.0	1	1	1
A0A068U4P0	A0A068U4P0	A0A068U4P0_COFCA	GSCOC_T00015930001	Enoyl reductase (ER) domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		1049770.0	1049770.0	1	1	1
A0A068U4Y8;A0A068UIC7;A0A068UJV2;A0A068UV41	A0A068U4Y8;A0A068UIC7;A0A068UJV2;A0A068UV41	A0A068U4Y8_COFCA;A0A068UIC7_COFCA;A0A068UJV2_COFCA;A0A068UV41_COFCA	GSCOC_T00027065001;GSCOC_T00027775001;GSCOC_T00035522001;GSCOC_T00041693001	Mitochondrial carrier protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		212163.0	212163.0	1	1	1
A0A068U509;A0A068U612	A0A068U509;A0A068U612	A0A068U509_COFCA;A0A068U612_COFCA	GSCOC_T00016028001;GSCOC_T00016076001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		58493.0	58493.0	1	1	1
A0A068U538	A0A068U538	A0A068U538_COFCA	GSCOC_T00041802001	SKI-interacting protein SKIP SNW domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068U557	A0A068U557	A0A068U557_COFCA	GSCOC_T00015218001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		188434.0	188434.0	1	1	1
A0A068U587	A0A068U587	A0A068U587_COFCA	GSCOC_T00040267001	mannose-6-phosphate isomerase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		260681.0	260681.0	1	1	1
A0A068U5C1	A0A068U5C1	A0A068U5C1_COFCA	GSCOC_T00041939001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		44239.1	44239.1	1	1	1
A0A068U5R5	A0A068U5R5	A0A068U5R5_COFCA	GSCOC_T00016317001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		69519.5	69519.5	1	1	1
A0A068U5X1;A0A068U8G4	A0A068U5X1;A0A068U8G4	A0A068U5X1_COFCA;A0A068U8G4_COFCA	GSCOC_T00016404001;GSCOC_T00016406001	Membrane protein of ER body-like protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		176477.0	176477.0	1	1	1
A0A068U682	A0A068U682	A0A068U682_COFCA	GSCOC_T00016604001	Peroxidase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		26467.2	26467.2	1	1	1
A0A068U6A1;A0A068UD46;A0A068UEQ5	A0A068U6A1;A0A068UD46;A0A068UEQ5	A0A068U6A1_COFCA;A0A068UD46_COFCA;A0A068UEQ5_COFCA	GSCOC_T00016573001;GSCOC_T00021494001;GSCOC_T00021495001	glutathione transferase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		111002.0	111002.0	1	1	1
A0A068U6J8;A0A068VI39;A0A068VIQ8	A0A068U6J8;A0A068VI39;A0A068VIQ8	A0A068U6J8_COFCA;A0A068VI39_COFCA;A0A068VIQ8_COFCA	GSCOC_T00011981001;GSCOC_T00012819001;GSCOC_T00016454001	60S ribosomal protein L32	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		54830.5	54830.5	1	1	1
A0A068U6N4	A0A068U6N4	A0A068U6N4_COFCA	GSCOC_T00041783001	Fe2OG dioxygenase domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		559876.0	559876.0	1	1	1
A0A068U6R1	A0A068U6R1	A0A068U6R1_COFCA	GSCOC_T00016533001	Glyoxylate/succinic semialdehyde reductase 1	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		751421.0	751421.0	1	1	1
A0A068U7C7	A0A068U7C7	A0A068U7C7_COFCA	GSCOC_T00015916001	glutathione transferase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		44901.5	44901.5	1	1	1
A0A068U7C8	A0A068U7C8	A0A068U7C8_COFCA	GSCOC_T00017797001	HTH myb-type domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		112382.0	112382.0	1	1	1
A0A068U7D0	A0A068U7D0	A0A068U7D0_COFCA	GSCOC_T00017851001	Plastid lipid-associated protein/fibrillin conserved domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		52443.7	52443.7	1	1	1
A0A068U7F0	A0A068U7F0	A0A068U7F0_COFCA	GSCOC_T00017408001	Plasma membrane-associated cation-binding protein 1	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		267662.0	267662.0	1	1	1
A0A068U7J6;A0A068U7K2	A0A068U7J6;A0A068U7K2	A0A068U7J6_COFCA;A0A068U7K2_COFCA	GSCOC_T00017906001;GSCOC_T00017911001	Inositol-1-monophosphatase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		86595.3	86595.3	1	1	1
A0A068U7M4	A0A068U7M4	A0A068U7M4_COFCA	PFK	ATP-dependent 6-phosphofructokinase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		1191670.0	1191670.0	1	1	1
A0A068U890	A0A068U890	A0A068U890_COFCA	GSCOC_T00017801001	Aminomethyltransferase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		2919110.0	2919110.0	1	1	1
A0A068U8U1	A0A068U8U1	A0A068U8U1_COFCA	GSCOC_T00016561001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		108469.0	108469.0	1	1	1
A0A068U8U1;A0A068VCK3	A0A068U8U1;A0A068VCK3	A0A068U8U1_COFCA;A0A068VCK3_COFCA	GSCOC_T00006614001;GSCOC_T00016561001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		167115.0	167115.0	1	1	1
A0A068U968	A0A068U968	A0A068U968_COFCA	GSCOC_T00018773001	Probable 6-phosphogluconolactonase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		32711.1	32711.1	1	1	1
A0A068U9D1	A0A068U9D1	A0A068U9D1_COFCA	GSCOC_T00019512001	GTP-binding nuclear protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		5701780.0	5701780.0	1	1	1
A0A068U9D1;A0A068U511	A0A068U9D1;A0A068U511	A0A068U511_COFCA;A0A068U9D1_COFCA	GSCOC_T00019512001;GSCOC_T00041982001	GTP-binding nuclear protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		5323790.0	5323790.0	1	1	1
A0A068U9L7	A0A068U9L7	A0A068U9L7_COFCA	GSCOC_T00019892001	Small heat shock protein, chloroplastic	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		1680970.0	1680970.0	1	1	1
A0A068UA15	A0A068UA15	A0A068UA15_COFCA	GSCOC_T00020411001	Peptide methionine sulfoxide reductase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		135929.0	135929.0	1	1	1
A0A068UAI4	A0A068UAI4	A0A068UAI4_COFCA	GSCOC_T00020269001	Iron-binding zinc finger CDGSH type domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		39554.1	39554.1	1	1	1
A0A068UAI4;A0A068UQV3;A0A068VFH3	A0A068UAI4;A0A068UQV3;A0A068VFH3	A0A068UAI4_COFCA;A0A068UQV3_COFCA;A0A068VFH3_COFCA	GSCOC_T00001518001;GSCOC_T00020269001;GSCOC_T00031674001	Iron-binding zinc finger CDGSH type domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		68354.0	68354.0	1	1	1
A0A068UAL9	A0A068UAL9	A0A068UAL9_COFCA	GSCOC_T00020168001	HMA domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		2761910.0	2761910.0	1	1	1
A0A068UAU6	A0A068UAU6	A0A068UAU6_COFCA	GSCOC_T00020757001	Glycosyltransferase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		230142.0	230142.0	1	1	1
A0A068UB31	A0A068UB31	A0A068UB31_COFCA	GSCOC_T00021012001	aconitate hydratase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		130515.0	130515.0	1	1	1
A0A068UB44;A0A068VHN4	A0A068UB44;A0A068VHN4	A0A068UB44_COFCA;A0A068VHN4_COFCA	GSCOC_T00012272001;GSCOC_T00021036001	SUI1 domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		46114.9	46114.9	1	1	1
A0A068UB81;A0A068V3Y9	A0A068UB81;A0A068V3Y9	A0A068UB81_COFCA;A0A068V3Y9_COFCA	GSCOC_T00019776001;GSCOC_T00042940001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		301120.0	301120.0	1	1	1
A0A068UBH2	A0A068UBH2	A0A068UBH2_COFCA	GSCOC_T00021228001	Thioredoxin domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		274384.0	274384.0	1	1	1
A0A068UBK1	A0A068UBK1	A0A068UBK1_COFCA	GSCOC_T00021264001	protein-serine/threonine phosphatase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		974043.0	974043.0	1	1	1
A0A068UBK1;A0A068V2N8	A0A068UBK1;A0A068V2N8	A0A068UBK1_COFCA;A0A068V2N8_COFCA	GSCOC_T00021264001;GSCOC_T00042286001	protein-serine/threonine phosphatase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		1104660.0	1104660.0	1	1	1
A0A068UBP7;A0A068VCB0	A0A068UBP7;A0A068VCB0	A0A068UBP7_COFCA;A0A068VCB0_COFCA	GSCOC_T00012967001;GSCOC_T00021323001	Malate dehydrogenase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068UBX1	A0A068UBX1	A0A068UBX1_COFCA	GSCOC_T00021336001	DJ-1/PfpI domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		26987.2	26987.2	1	1	1
A0A068UCK6	A0A068UCK6	A0A068UCK6_COFCA	GSCOC_T00021577001	ribose-phosphate diphosphokinase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		688724.0	688724.0	1	1	1
A0A068UD11	A0A068UD11	A0A068UD11_COFCA	GSCOC_T00021535001	Glucose-1-phosphate adenylyltransferase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068UD94	A0A068UD94	A0A068UD94_COFCA	GSCOC_T00023422001	fructose-bisphosphatase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		205001.0	205001.0	1	1	1
A0A068UDF0	A0A068UDF0	A0A068UDF0_COFCA	GSCOC_T00021590001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		62985.3	62985.3	1	1	1
A0A068UDJ6;A0A068UMX2	A0A068UDJ6;A0A068UMX2	A0A068UDJ6_COFCA;A0A068UMX2_COFCA	GSCOC_T00023550001;GSCOC_T00028126001	Histone H4	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		2348090.0	2348090.0	1	1	1
A0A068UDW7	A0A068UDW7	A0A068UDW7_COFCA	GSCOC_T00021115001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		9594.12	9594.12	1	1	1
A0A068UE46	A0A068UE46	A0A068UE46_COFCA	GSCOC_T00023673001	Valine--tRNA ligase, mitochondrial	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		2892770.0	2892770.0	1	1	1
A0A068UE68	A0A068UE68	A0A068UE68_COFCA	GSCOC_T00023706001	Adenosine kinase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068UEK0	A0A068UEK0	A0A068UEK0_COFCA	GSCOC_T00023529001	Actin	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		1396670.0	1396670.0	1	1	1
A0A068UEM6;A0A068V702	A0A068UEM6;A0A068V702	A0A068UEM6_COFCA;A0A068V702_COFCA	GSCOC_T00015628001;GSCOC_T00024108001	Large ribosomal subunit protein bL9c	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068UEN7;A0A068VNV4	A0A068UEN7;A0A068VNV4	A0A068UEN7_COFCA;A0A068VNV4_COFCA	GSCOC_T00005696001;GSCOC_T00021467001	Tyrosinase copper-binding domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068UF51	A0A068UF51	A0A068UF51_COFCA	GSCOC_T00022930001	PsbP C-terminal domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068UFC9	A0A068UFC9	A0A068UFC9_COFCA	GSCOC_T00023116001	Chlorophyll a-b binding protein, chloroplastic	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068UFL5;A0A068VFW2	A0A068UFL5;A0A068VFW2	A0A068UFL5_COFCA;A0A068VFW2_COFCA	GSCOC_T00012414001;GSCOC_T00024178001	RuBisCO large subunit-binding protein subunit alpha	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		64813.9	64813.9	1	1	1
A0A068UFN9	A0A068UFN9	A0A068UFN9_COFCA	GSCOC_T00024491001	Glyceraldehyde-3-phosphate dehydrogenase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		226741.0	226741.0	1	1	1
A0A068UFN9;A0A068VCI9	A0A068UFN9;A0A068VCI9	A0A068UFN9_COFCA;A0A068VCI9_COFCA	GSCOC_T00004222001;GSCOC_T00024491001	Glyceraldehyde-3-phosphate dehydrogenase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		532345.0	532345.0	1	1	1
A0A068UFQ2;A0A068U2T1;A0A068V4T9;A0A068VBE0	A0A068UFQ2;A0A068U2T1;A0A068V4T9;A0A068VBE0	A0A068U2T1_COFCA;A0A068UFQ2_COFCA;A0A068V4T9_COFCA;A0A068VBE0_COFCA	GSCOC_T00010187001;GSCOC_T00015408001;GSCOC_T00024643001;GSCOC_T00039860001	peptidylprolyl isomerase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		267611.0	267611.0	1	1	1
A0A068UFU7	A0A068UFU7	A0A068UFU7_COFCA	GSCOC_T00024577001	Major facilitator superfamily (MFS) profile domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		6910160.0	6910160.0	1	1	1
A0A068UFZ8	A0A068UFZ8	A0A068UFZ8_COFCA	GSCOC_T00024232001	Protein disulfide-isomerase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		78445.0	78445.0	1	1	1
A0A068UG19	A0A068UG19	A0A068UG19_COFCA	GSCOC_T00024799001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		282897.0	282897.0	1	1	1
A0A068UGD4	A0A068UGD4	A0A068UGD4_COFCA	GSCOC_T00024578001	Thioredoxin domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		27008.1	27008.1	1	1	1
A0A068UGE1	A0A068UGE1	A0A068UGE1_COFCA	GSCOC_T00024591001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		143771.0	143771.0	1	1	1
A0A068UGH4;A0A068V667	A0A068UGH4;A0A068V667	A0A068UGH4_COFCA;A0A068V667_COFCA	GSCOC_T00024521001;GSCOC_T00043088001	1,4-alpha-glucan branching enzyme	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		110386.0	110386.0	1	1	1
A0A068UGP0	A0A068UGP0	A0A068UGP0_COFCA	GSCOC_T00024721001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068UGS8	A0A068UGS8	A0A068UGS8_COFCA	GSCOC_T00025099001	Peptidase C1A papain C-terminal domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		931452.0	931452.0	1	1	1
A0A068UH36	A0A068UH36	A0A068UH36_COFCA	GSCOC_T00025100001	Peptidase C1A propeptide domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		593213.0	593213.0	1	1	1
A0A068UHA0;A0A068UI86	A0A068UHA0;A0A068UI86	A0A068UHA0_COFCA;A0A068UI86_COFCA	GSCOC_T00025471001;GSCOC_T00025473001	UDP-glucose iridoid glucosyltransferase-like	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068UHL0	A0A068UHL0	A0A068UHL0_COFCA	GSCOC_T00025005001	Citrate synthase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068UHL5	A0A068UHL5	A0A068UHL5_COFCA	GSCOC_T00025101001	Peptidase C1A papain C-terminal domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		443029.0	443029.0	1	1	1
A0A068UI43	A0A068UI43	A0A068UI43_COFCA	GSCOC_T00024515001	Catalase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068UIT5	A0A068UIT5	A0A068UIT5_COFCA	GSCOC_T00024827001	COP9 signalosome complex subunit 4	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		590729.0	590729.0	1	1	1
A0A068UJ98	A0A068UJ98	A0A068UJ98_COFCA	GSCOC_T00027064001	Tr-type G domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		276595.0	276595.0	1	1	1
A0A068UJJ1	A0A068UJJ1	A0A068UJJ1_COFCA	GSCOC_T00027231001	Lysine--tRNA ligase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		94513.5	94513.5	1	1	1
A0A068UJK3	A0A068UJK3	A0A068UJK3_COFCA	GSCOC_T00025185001	Ferredoxin thioredoxin reductase alpha chain domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		411527.0	411527.0	1	1	1
A0A068UJP3	A0A068UJP3	A0A068UJP3_COFCA	GSCOC_T00027802001	Eukaryotic translation initiation factor 4C	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		182123.0	182123.0	1	1	1
A0A068UJP3;A0A068UZW2	A0A068UJP3;A0A068UZW2	A0A068UJP3_COFCA;A0A068UZW2_COFCA	GSCOC_T00027802001;GSCOC_T00038826001	Eukaryotic translation initiation factor 4C	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		45994.2	45994.2	1	1	1
A0A068UKG5	A0A068UKG5	A0A068UKG5_COFCA	GSCOC_T00028216001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		377965.0	377965.0	1	1	1
A0A068UKG5;A0A068UKG2	A0A068UKG5;A0A068UKG2	A0A068UKG2_COFCA;A0A068UKG5_COFCA	GSCOC_T00028209001;GSCOC_T00028216001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		29457.4	29457.4	1	1	1
A0A068UKI2	A0A068UKI2	A0A068UKI2_COFCA	GSCOC_T00027756001	Rhodanese domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		25411.9	25411.9	1	1	1
A0A068UKI7;A0A068US28	A0A068UKI7;A0A068US28	A0A068UKI7_COFCA;A0A068US28_COFCA	GSCOC_T00020301001;GSCOC_T00033066001	Small ribosomal subunit protein uS15 N-terminal domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		829065.0	829065.0	1	1	1
A0A068ULR2	A0A068ULR2	A0A068ULR2_COFCA	GSCOC_T00028875001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068ULX8	A0A068ULX8	A0A068ULX8_COFCA	GSCOC_T00028445001	RanBD1 domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		70139.5	70139.5	1	1	1
A0A068ULZ0	A0A068ULZ0	A0A068ULZ0_COFCA	GSCOC_T00028611001	Probable glutathione S-transferase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		54153.9	54153.9	1	1	1
A0A068UME6	A0A068UME6	A0A068UME6_COFCA	GSCOC_T00028782001	Nucleoside diphosphate kinase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		15931.9	15931.9	1	1	1
A0A068UML9	A0A068UML9	A0A068UML9_COFCA	GSCOC_T00027980001	Short-chain dehydrogenase/reductase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		59009.3	59009.3	1	1	1
A0A068UMU7	A0A068UMU7	A0A068UMU7_COFCA	GSCOC_T00028091001	Plant heme peroxidase family profile domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		804674.0	804674.0	1	1	1
A0A068UMW5	A0A068UMW5	A0A068UMW5_COFCA	GSCOC_T00030237001	Selenoprotein H	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		664540.0	664540.0	1	1	1
A0A068UNE0	A0A068UNE0	A0A068UNE0_COFCA	GSCOC_T00030183001	FHA domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068UNF2	A0A068UNF2	A0A068UNF2_COFCA	GSCOC_T00030202001	Glutathione peroxidase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		71122.9	71122.9	1	1	1
A0A068UNK5	A0A068UNK5	A0A068UNK5_COFCA	GSCOC_T00030296001	Hydroxymethylglutaryl-CoA synthase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		786677.0	786677.0	1	1	1
A0A068UNM3	A0A068UNM3	A0A068UNM3_COFCA	GSCOC_T00030410001	transaldolase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068UNQ4	A0A068UNQ4	A0A068UNQ4_COFCA	GSCOC_T00028444001	ERBB-3 BINDING PROTEIN 1	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		1704070.0	1704070.0	1	1	1
A0A068UP07	A0A068UP07	A0A068UP07_COFCA	GSCOC_T00030898001	Cytosol aminopeptidase domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		99192.1	99192.1	1	1	1
A0A068UP07;A0A068V706	A0A068UP07;A0A068V706	A0A068UP07_COFCA;A0A068V706_COFCA	GSCOC_T00018998001;GSCOC_T00030898001	Cytosol aminopeptidase domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		128076.0	128076.0	1	1	1
