Protein.Group	Protein.Names	Genes	First.Protein.Description	20260211_008_C41079_S1100213_Beads2_Group_2.mzML	20260211_007_C41079_S1100211_NosH3_Group_1.mzML	20260211_005_C41079_S1100214_Beads3_Group_2.mzML	20260211_004_C41079_S1100210_NosH2_Group_1.mzML	20260211_003_C41079_S1100209_NosH1_Group_1.mzML	20260211_002_C41079_S1100212_Beads1_Group_2.mzML
A0A068TZ70;A0A068TZB4	A0A068TZ70_COFCA;A0A068TZB4_COFCA	GSCOC_T00036701001;GSCOC_T00036702001	Enoyl reductase (ER) domain-containing protein	71800.9	131139	86299.6	86868	84963.3	56360.6
A0A068TZE0	A0A068TZE0_COFCA	GSCOC_T00034889001	Actinidain	594032	1.84852e+06	277204	2.14805e+06	1.55089e+06	139166
A0A068TZX4	A0A068TZX4_COFCA	GSCOC_T00036950001	HMG box domain-containing protein	1.16933e+06	1.15192e+06	1.19015e+06	1.22473e+06	1.11005e+06	1.331e+06
A0A068U025	A0A068U025_COFCA	GSCOC_T00037056001	26S proteasome non-ATPase regulatory subunit 4 homolog		538200		616331	498725	130168
A0A068U061	A0A068U061_COFCA	GSCOC_T00037102001	H15 domain-containing protein	595545	505040	616121	593561	592144	658659
A0A068U0H0	A0A068U0H0_COFCA	GSCOC_T00034618001	Uncharacterized protein		778108		1.11637e+06	522685	
A0A068U0N7	A0A068U0N7_COFCA	GSCOC_T00037068001	Ferredoxin--NADP reductase, chloroplastic	1.13042e+06	965278	1.10735e+06	1.53457e+06	1.29939e+06	1.29161e+06
A0A068U175	A0A068U175_COFCA	GSCOC_T00037115001	Fructose-bisphosphate aldolase	545375	2.42902e+06	588967	2.13304e+06	1.90901e+06	548466
A0A068U175;A0A068TL79	A0A068TL79_COFCA;A0A068U175_COFCA	GSCOC_T00014197001;GSCOC_T00037115001	Fructose-bisphosphate aldolase	1.15983e+06	3.76438e+06	1.14418e+06	4.27898e+06	3.90905e+06	1.22401e+06
A0A068U175;A0A068TWW6;A0A068TL79	A0A068TL79_COFCA;A0A068TWW6_COFCA;A0A068U175_COFCA	GSCOC_T00014197001;GSCOC_T00032750001;GSCOC_T00037115001	Fructose-bisphosphate aldolase	835899	3.11343e+06	799824	2.88445e+06	2.8638e+06	787540
A0A068U1F1	A0A068U1F1_COFCA	GSCOC_T00039411001	Formate dehydrogenase, mitochondrial	103243	82749.4	137525	98201.9	94924.2	378842
A0A068U1F1;A0A068USH3	A0A068U1F1_COFCA;A0A068USH3_COFCA	GSCOC_T00033352001;GSCOC_T00039411001	Formate dehydrogenase, mitochondrial	2.52221e+06	1.69678e+06	2.59624e+06	1.53955e+06	1.56381e+06	2.75188e+06
A0A068U1F3	A0A068U1F3_COFCA	GSCOC_T00037207001	glucose-6-phosphate 1-epimerase	1.44336e+06	1.23772e+06	1.68315e+06	1.24292e+06	1.16167e+06	1.86809e+06
A0A068U1I2	A0A068U1I2_COFCA	GSCOC_T00037240001	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	284518	308129	385629	271702	291886	339477
A0A068U1L2	A0A068U1L2_COFCA	GSCOC_T00039805001	Oxygen-evolving enhancer protein 1, chloroplastic	677191	1.61454e+06	453954	2.65617e+06	1.54608e+06	436806
A0A068U1L6	A0A068U1L6_COFCA	GSCOC_T00036577001	40S ribosomal protein S6	122137	284840				94984.1
A0A068U1L6;A0A068UXL2	A0A068U1L6_COFCA;A0A068UXL2_COFCA	GSCOC_T00035876001;GSCOC_T00036577001	40S ribosomal protein S6		17983.2	14283	16128.1	23551.5	13998.7
A0A068U1P0	A0A068U1P0_COFCA	GSCOC_T00039372001	Glutaredoxin domain-containing protein	141980	1.12084e+06		1.0152e+06	760444	58648.9
A0A068U214	A0A068U214_COFCA	GSCOC_T00039992001	AB hydrolase-1 domain-containing protein		12519.4		109504	70211.4	
A0A068U245;A0A068V878	A0A068U245_COFCA;A0A068V878_COFCA	GSCOC_T00011364001;GSCOC_T00039763001	Proteasome subunit alpha type			29701.3			
A0A068U289	A0A068U289_COFCA	GSCOC_T00036823001	Isocitrate dehydrogenase [NADP]	357326	1.12321e+06	257485	967721	846046	328946
A0A068U289;A0A068U3A1	A0A068U289_COFCA;A0A068U3A1_COFCA	GSCOC_T00036823001;GSCOC_T00039371001	Isocitrate dehydrogenase [NADP]	76378	248384	67715.6	258549	257049	61486.8
A0A068U2E4;A0A068VG90	A0A068U2E4_COFCA;A0A068VG90_COFCA	GSCOC_T00001641001;GSCOC_T00040157001	Serine hydroxymethyltransferase-like domain-containing protein	62355.3	92139.1	68160.7	107326	98102.4	85596.3
A0A068U2N8	A0A068U2N8_COFCA	GSCOC_T00040234001	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain-containing protein		110835	6832.92	226326	270938	4887.89
A0A068U3A1	A0A068U3A1_COFCA	GSCOC_T00039371001	Isocitrate dehydrogenase [NADP]	61231.1	210452	67991.5	246052	235816	99856.1
A0A068U3I4	A0A068U3I4_COFCA	GSCOC_T00040156001	glycine hydroxymethyltransferase	194793	250157	157092	276326	256018	185936
A0A068U3I4;A0A068VG90	A0A068U3I4_COFCA;A0A068VG90_COFCA	GSCOC_T00001641001;GSCOC_T00040156001	glycine hydroxymethyltransferase	120229	181651	155063	190026	155996	203674
A0A068U3L0;A0A068UID1	A0A068U3L0_COFCA;A0A068UID1_COFCA	GSCOC_T00027076001;GSCOC_T00041634001	RNA helicase	58641.6	29834.6	58556.2			238555
A0A068U3R1	A0A068U3R1_COFCA	GSCOC_T00040298001	allene-oxide cyclase	12750	61608.1	15245.8	70843.1	84296.6	115404
A0A068U3T5	A0A068U3T5_COFCA	GSCOC_T00041661001	Histone-binding protein RBBP4-like N-terminal domain-containing protein	60952	47126.2	60609.8	48013.4	50831.2	117548
A0A068U3Y2	A0A068U3Y2_COFCA	GSCOC_T00041515001	Peroxiredoxin Q, chloroplastic	5.21741e+06	9.58085e+06	4.46076e+06	1.17525e+07	1.09013e+07	4.8181e+06
A0A068U423	A0A068U423_COFCA	GSCOC_T00041551001	Proteasome subunit alpha type	127319		300889	309796		172614
A0A068U433	A0A068U433_COFCA	GSCOC_T00041749001	Profilin		25742.4		164660	45876.8	
A0A068U455	A0A068U455_COFCA	GSCOC_T00041788001	Malic enzyme	297732	224589	261871	284895	220882	357760
A0A068U4P0	A0A068U4P0_COFCA	GSCOC_T00015930001	Enoyl reductase (ER) domain-containing protein	925137	616157	901709	528746	520693	1.04977e+06
A0A068U4Y8;A0A068UIC7;A0A068UJV2;A0A068UV41	A0A068U4Y8_COFCA;A0A068UIC7_COFCA;A0A068UJV2_COFCA;A0A068UV41_COFCA	GSCOC_T00027065001;GSCOC_T00027775001;GSCOC_T00035522001;GSCOC_T00041693001	Mitochondrial carrier protein	231488	160404	213845	220023	159994	212163
A0A068U509;A0A068U612	A0A068U509_COFCA;A0A068U612_COFCA	GSCOC_T00016028001;GSCOC_T00016076001	Uncharacterized protein	57588.4	209777	65576	255626	187696	58493
A0A068U538	A0A068U538_COFCA	GSCOC_T00041802001	SKI-interacting protein SKIP SNW domain-containing protein			47995.3	3.22643e+07		
A0A068U557	A0A068U557_COFCA	GSCOC_T00015218001	Uncharacterized protein	174425	291415	178066	254225	209801	188434
A0A068U587	A0A068U587_COFCA	GSCOC_T00040267001	mannose-6-phosphate isomerase	227101	465984	219890	524064	492738	260681
A0A068U5C1	A0A068U5C1_COFCA	GSCOC_T00041939001	Uncharacterized protein	47940.9		53063.8	40133.7	26617.9	44239.1
A0A068U5R5	A0A068U5R5_COFCA	GSCOC_T00016317001	Uncharacterized protein	70385.7	196087	56942.1	267357	199429	69519.5
A0A068U5X1;A0A068U8G4	A0A068U5X1_COFCA;A0A068U8G4_COFCA	GSCOC_T00016404001;GSCOC_T00016406001	Membrane protein of ER body-like protein	88036.9		235381	54162.1		176477
A0A068U682	A0A068U682_COFCA	GSCOC_T00016604001	Peroxidase		26066.5	24947.4	58389.7	64718.3	26467.2
A0A068U6A1;A0A068UD46;A0A068UEQ5	A0A068U6A1_COFCA;A0A068UD46_COFCA;A0A068UEQ5_COFCA	GSCOC_T00016573001;GSCOC_T00021494001;GSCOC_T00021495001	glutathione transferase	36891.4	110719	29625.6	149847	203506	111002
A0A068U6J8;A0A068VI39;A0A068VIQ8	A0A068U6J8_COFCA;A0A068VI39_COFCA;A0A068VIQ8_COFCA	GSCOC_T00011981001;GSCOC_T00012819001;GSCOC_T00016454001	60S ribosomal protein L32		16276.2	7693.5		13798.7	54830.5
A0A068U6N4	A0A068U6N4_COFCA	GSCOC_T00041783001	Fe2OG dioxygenase domain-containing protein	1.22667e+06	3.1689e+08	1.44542e+06		2.76996e+08	559876
A0A068U6R1	A0A068U6R1_COFCA	GSCOC_T00016533001	Glyoxylate/succinic semialdehyde reductase 1	810792	493642	690516	498138	421306	751421
A0A068U7C7	A0A068U7C7_COFCA	GSCOC_T00015916001	glutathione transferase	8285.98		7106.91	41080.2	27750.5	44901.5
A0A068U7C8	A0A068U7C8_COFCA	GSCOC_T00017797001	HTH myb-type domain-containing protein	730663	1.22366e+06	172877	2.88165e+06	2.51005e+06	112382
A0A068U7D0	A0A068U7D0_COFCA	GSCOC_T00017851001	Plastid lipid-associated protein/fibrillin conserved domain-containing protein		456638	56944.7	531019	449927	52443.7
A0A068U7F0	A0A068U7F0_COFCA	GSCOC_T00017408001	Plasma membrane-associated cation-binding protein 1	274944	864986	229419	989752	820610	267662
A0A068U7J6;A0A068U7K2	A0A068U7J6_COFCA;A0A068U7K2_COFCA	GSCOC_T00017906001;GSCOC_T00017911001	Inositol-1-monophosphatase	84663.4	117212	81337.9	98375.9	103870	86595.3
A0A068U7M4	A0A068U7M4_COFCA	PFK	ATP-dependent 6-phosphofructokinase	1.08657e+06	538665	1.01023e+06	535141	495808	1.19167e+06
A0A068U890	A0A068U890_COFCA	GSCOC_T00017801001	Aminomethyltransferase	2.8024e+06	3.1325e+06	2.42486e+06	3.67091e+06	3.61019e+06	2.91911e+06
A0A068U8U1	A0A068U8U1_COFCA	GSCOC_T00016561001	Uncharacterized protein		185131	47846.1			108469
A0A068U8U1;A0A068VCK3	A0A068U8U1_COFCA;A0A068VCK3_COFCA	GSCOC_T00006614001;GSCOC_T00016561001	Uncharacterized protein	125473	185636	154384	201076	189346	167115
A0A068U968	A0A068U968_COFCA	GSCOC_T00018773001	Probable 6-phosphogluconolactonase	20304.9	19985.4	32301.7	23918.2	19333.5	32711.1
A0A068U9D1	A0A068U9D1_COFCA	GSCOC_T00019512001	GTP-binding nuclear protein	257577	304894	477311	1.33073e+06	2.40244e+06	5.70178e+06
A0A068U9D1;A0A068U511	A0A068U511_COFCA;A0A068U9D1_COFCA	GSCOC_T00019512001;GSCOC_T00041982001	GTP-binding nuclear protein	3.75629e+06	6.14776e+06	3.38441e+06	7.39629e+06	7.45533e+06	5.32379e+06
A0A068U9L7	A0A068U9L7_COFCA	GSCOC_T00019892001	Small heat shock protein, chloroplastic	1.51359e+06	719702	1.28e+06	779917	782683	1.68097e+06
A0A068UA15	A0A068UA15_COFCA	GSCOC_T00020411001	Peptide methionine sulfoxide reductase		1.0847e+06		984110	1.06002e+06	135929
A0A068UAI4	A0A068UAI4_COFCA	GSCOC_T00020269001	Iron-binding zinc finger CDGSH type domain-containing protein	30433.3	96771.3	29353.5	93537.3	84500.1	39554.1
A0A068UAI4;A0A068UQV3;A0A068VFH3	A0A068UAI4_COFCA;A0A068UQV3_COFCA;A0A068VFH3_COFCA	GSCOC_T00001518001;GSCOC_T00020269001;GSCOC_T00031674001	Iron-binding zinc finger CDGSH type domain-containing protein	69717	111976	79334.9	215040	250370	68354
A0A068UAL9	A0A068UAL9_COFCA	GSCOC_T00020168001	HMA domain-containing protein	2.95719e+06		3.27297e+06			2.76191e+06
A0A068UAU6	A0A068UAU6_COFCA	GSCOC_T00020757001	Glycosyltransferase	168038		199862		2.32904e+06	230142
A0A068UB31	A0A068UB31_COFCA	GSCOC_T00021012001	aconitate hydratase	177571	180517	134755	288721	347766	130515
A0A068UB44;A0A068VHN4	A0A068UB44_COFCA;A0A068VHN4_COFCA	GSCOC_T00012272001;GSCOC_T00021036001	SUI1 domain-containing protein		124482		118972	190767	46114.9
A0A068UB81;A0A068V3Y9	A0A068UB81_COFCA;A0A068V3Y9_COFCA	GSCOC_T00019776001;GSCOC_T00042940001	Uncharacterized protein	291212	177229	229213	171821	121710	301120
A0A068UBH2	A0A068UBH2_COFCA	GSCOC_T00021228001	Thioredoxin domain-containing protein	280482	5.28514e+06	248736	5.70336e+06	4.74777e+06	274384
A0A068UBK1	A0A068UBK1_COFCA	GSCOC_T00021264001	protein-serine/threonine phosphatase	828596	569696	852761	625964	550052	974043
A0A068UBK1;A0A068V2N8	A0A068UBK1_COFCA;A0A068V2N8_COFCA	GSCOC_T00021264001;GSCOC_T00042286001	protein-serine/threonine phosphatase	1.09952e+06	873250	888549	796110	802194	1.10466e+06
A0A068UBP7;A0A068VCB0	A0A068UBP7_COFCA;A0A068VCB0_COFCA	GSCOC_T00012967001;GSCOC_T00021323001	Malate dehydrogenase		11885.6		84894.9	48541.6	
A0A068UBX1	A0A068UBX1_COFCA	GSCOC_T00021336001	DJ-1/PfpI domain-containing protein	106606	360836		386825	329590	26987.2
A0A068UCK6	A0A068UCK6_COFCA	GSCOC_T00021577001	ribose-phosphate diphosphokinase	508081		504231	104800		688724
A0A068UD11	A0A068UD11_COFCA	GSCOC_T00021535001	Glucose-1-phosphate adenylyltransferase	301781					
A0A068UD94	A0A068UD94_COFCA	GSCOC_T00023422001	fructose-bisphosphatase	235830	1.39058e+06	221146	1.55408e+06	1.25432e+06	205001
A0A068UDF0	A0A068UDF0_COFCA	GSCOC_T00021590001	Uncharacterized protein	62965.3		23171.8	35639.5		62985.3
A0A068UDJ6;A0A068UMX2	A0A068UDJ6_COFCA;A0A068UMX2_COFCA	GSCOC_T00023550001;GSCOC_T00028126001	Histone H4	1.64504e+06	696471	1.56367e+06	1.01316e+06	2.87074e+06	2.34809e+06
A0A068UDW7	A0A068UDW7_COFCA	GSCOC_T00021115001	Uncharacterized protein	9216.52		7447.21			9594.12
A0A068UE46	A0A068UE46_COFCA	GSCOC_T00023673001	Valine--tRNA ligase, mitochondrial	2.23615e+06					2.89277e+06
A0A068UE68	A0A068UE68_COFCA	GSCOC_T00023706001	Adenosine kinase				44479.2	251971	
A0A068UEK0	A0A068UEK0_COFCA	GSCOC_T00023529001	Actin	93710		151830	100433	130329	1.39667e+06
A0A068UEM6;A0A068V702	A0A068UEM6_COFCA;A0A068V702_COFCA	GSCOC_T00015628001;GSCOC_T00024108001	Large ribosomal subunit protein bL9c			105633	20901.5	22487.2	
A0A068UEN7;A0A068VNV4	A0A068UEN7_COFCA;A0A068VNV4_COFCA	GSCOC_T00005696001;GSCOC_T00021467001	Tyrosinase copper-binding domain-containing protein		49903.4				
A0A068UF51	A0A068UF51_COFCA	GSCOC_T00022930001	PsbP C-terminal domain-containing protein	97463.6	207814	11525.4	233749	138740	
A0A068UFC9	A0A068UFC9_COFCA	GSCOC_T00023116001	Chlorophyll a-b binding protein, chloroplastic	262190					
A0A068UFL5;A0A068VFW2	A0A068UFL5_COFCA;A0A068VFW2_COFCA	GSCOC_T00012414001;GSCOC_T00024178001	RuBisCO large subunit-binding protein subunit alpha	11417.2	281011		322810	391226	64813.9
A0A068UFN9	A0A068UFN9_COFCA	GSCOC_T00024491001	Glyceraldehyde-3-phosphate dehydrogenase	252269	852144	182953	492109	506738	226741
A0A068UFN9;A0A068VCI9	A0A068UFN9_COFCA;A0A068VCI9_COFCA	GSCOC_T00004222001;GSCOC_T00024491001	Glyceraldehyde-3-phosphate dehydrogenase	465106	1.21429e+06	479621	1.55849e+06	1.4438e+06	532345
A0A068UFQ2;A0A068U2T1;A0A068V4T9;A0A068VBE0	A0A068U2T1_COFCA;A0A068UFQ2_COFCA;A0A068V4T9_COFCA;A0A068VBE0_COFCA	GSCOC_T00010187001;GSCOC_T00015408001;GSCOC_T00024643001;GSCOC_T00039860001	peptidylprolyl isomerase	358264	1.62283e+06	231490	1.7195e+06	1.47665e+06	267611
A0A068UFU7	A0A068UFU7_COFCA	GSCOC_T00024577001	Major facilitator superfamily (MFS) profile domain-containing protein	9.96626e+06	9.2023e+06	6.72488e+06	8.74798e+06	7.49735e+06	6.91016e+06
A0A068UFZ8	A0A068UFZ8_COFCA	GSCOC_T00024232001	Protein disulfide-isomerase	25448.9	17554.4	25508.9	32365.7		78445
A0A068UG19	A0A068UG19_COFCA	GSCOC_T00024799001	Uncharacterized protein	185710			205040	221448	282897
A0A068UGD4	A0A068UGD4_COFCA	GSCOC_T00024578001	Thioredoxin domain-containing protein	42480.5	26718.7		31863	43483.8	27008.1
A0A068UGE1	A0A068UGE1_COFCA	GSCOC_T00024591001	Uncharacterized protein	190677	57847.8	137916	51756.2	49125.9	143771
A0A068UGH4;A0A068V667	A0A068UGH4_COFCA;A0A068V667_COFCA	GSCOC_T00024521001;GSCOC_T00043088001	1,4-alpha-glucan branching enzyme	73431.8	14762.3	63356.6	164803	17328	110386
A0A068UGP0	A0A068UGP0_COFCA	GSCOC_T00024721001	Uncharacterized protein	301708	992691	134662	1.08762e+06	737171	
A0A068UGS8	A0A068UGS8_COFCA	GSCOC_T00025099001	Peptidase C1A papain C-terminal domain-containing protein	793975	2.31759e+06	774586	2.25238e+06	2.24168e+06	931452
A0A068UH36	A0A068UH36_COFCA	GSCOC_T00025100001	Peptidase C1A propeptide domain-containing protein	747150	1.64351e+06	669558	1.66714e+06	1.43255e+06	593213
A0A068UHA0;A0A068UI86	A0A068UHA0_COFCA;A0A068UI86_COFCA	GSCOC_T00025471001;GSCOC_T00025473001	UDP-glucose iridoid glucosyltransferase-like		85452.2		18116.9	15258.4	
A0A068UHL0	A0A068UHL0_COFCA	GSCOC_T00025005001	Citrate synthase	149081	339151				
A0A068UHL5	A0A068UHL5_COFCA	GSCOC_T00025101001	Peptidase C1A papain C-terminal domain-containing protein	351592	1.34054e+06	437102	1.37062e+06	1.23056e+06	443029
A0A068UI43	A0A068UI43_COFCA	GSCOC_T00024515001	Catalase	133871					
A0A068UIT5	A0A068UIT5_COFCA	GSCOC_T00024827001	COP9 signalosome complex subunit 4						590729
A0A068UJ98	A0A068UJ98_COFCA	GSCOC_T00027064001	Tr-type G domain-containing protein	317644	302236		295886	280369	276595
A0A068UJJ1	A0A068UJJ1_COFCA	GSCOC_T00027231001	Lysine--tRNA ligase	80320.4		43778.5			94513.5
A0A068UJK3	A0A068UJK3_COFCA	GSCOC_T00025185001	Ferredoxin thioredoxin reductase alpha chain domain-containing protein	532726	588662	359431	655315	680126	411527
A0A068UJP3	A0A068UJP3_COFCA	GSCOC_T00027802001	Eukaryotic translation initiation factor 4C	188849	200560	158470	179365		182123
A0A068UJP3;A0A068UZW2	A0A068UJP3_COFCA;A0A068UZW2_COFCA	GSCOC_T00027802001;GSCOC_T00038826001	Eukaryotic translation initiation factor 4C	39719.5	39100.7	33333	37692	172595	45994.2
A0A068UKG5	A0A068UKG5_COFCA	GSCOC_T00028216001	Uncharacterized protein	267776	423984	489476	422877	367269	377965
A0A068UKG5;A0A068UKG2	A0A068UKG2_COFCA;A0A068UKG5_COFCA	GSCOC_T00028209001;GSCOC_T00028216001	Uncharacterized protein	14441.4	18475	35613.9	81872	85294.2	29457.4
A0A068UKI2	A0A068UKI2_COFCA	GSCOC_T00027756001	Rhodanese domain-containing protein	21383.6		23539.2	33025.5		25411.9
A0A068UKI7;A0A068US28	A0A068UKI7_COFCA;A0A068US28_COFCA	GSCOC_T00020301001;GSCOC_T00033066001	Small ribosomal subunit protein uS15 N-terminal domain-containing protein	586241	427613	479794			829065
A0A068ULR2	A0A068ULR2_COFCA	GSCOC_T00028875001	Uncharacterized protein		1.38904e+06		1.47136e+06	1.14652e+06	
A0A068ULX8	A0A068ULX8_COFCA	GSCOC_T00028445001	RanBD1 domain-containing protein	48547.8	213380	62556.7	217905	146743	70139.5
A0A068ULZ0	A0A068ULZ0_COFCA	GSCOC_T00028611001	Probable glutathione S-transferase	50871.7				38642.2	54153.9
A0A068UME6	A0A068UME6_COFCA	GSCOC_T00028782001	Nucleoside diphosphate kinase	22652.2			38136.5	16113.1	15931.9
A0A068UML9	A0A068UML9_COFCA	GSCOC_T00027980001	Short-chain dehydrogenase/reductase	83205.5	104793	66721.5	141386	101876	59009.3
A0A068UMU7	A0A068UMU7_COFCA	GSCOC_T00028091001	Plant heme peroxidase family profile domain-containing protein	665976	1.42099e+06	717049	979201	682254	804674
A0A068UMW5	A0A068UMW5_COFCA	GSCOC_T00030237001	Selenoprotein H	669748	685872	639635	800572	626951	664540
A0A068UNE0	A0A068UNE0_COFCA	GSCOC_T00030183001	FHA domain-containing protein	57047.3	70893.6	36242.8	115846	56116.4	
A0A068UNF2	A0A068UNF2_COFCA	GSCOC_T00030202001	Glutathione peroxidase		661541		788447	653847	71122.9
A0A068UNK5	A0A068UNK5_COFCA	GSCOC_T00030296001	Hydroxymethylglutaryl-CoA synthase	507508	326214	654702	212378	179246	786677
A0A068UNM3	A0A068UNM3_COFCA	GSCOC_T00030410001	transaldolase			149309			
A0A068UNQ4	A0A068UNQ4_COFCA	GSCOC_T00028444001	ERBB-3 BINDING PROTEIN 1	1.29903e+06	1.0607e+06	1.43815e+06	1.1919e+06	1.08393e+06	1.70407e+06
A0A068UP07	A0A068UP07_COFCA	GSCOC_T00030898001	Cytosol aminopeptidase domain-containing protein	104562	80761	96399	101436	62830.1	99192.1
A0A068UP07;A0A068V706	A0A068UP07_COFCA;A0A068V706_COFCA	GSCOC_T00018998001;GSCOC_T00030898001	Cytosol aminopeptidase domain-containing protein	113049	82294.6	104400	95336.4	67385.4	128076
A0A068UP55	A0A068UP55_COFCA	GSCOC_T00030999001	CBM20 domain-containing protein	55473.2	46873.9	80902.2	38037.7	40715.5	78189.6
A0A068UP63;A0A068UPT5	A0A068UP63_COFCA;A0A068UPT5_COFCA	GSCOC_T00031008001;GSCOC_T00031012001	Bet v I/Major latex protein domain-containing protein	805184	1.89831e+06	675085	1.96022e+06	1.77172e+06	830120
A0A068UPD2	A0A068UPD2_COFCA	GSCOC_T00030715001	Leucine-rich repeat-containing N-terminal plant-type domain-containing protein	109499	68080.6	87900.8	60521.2	74429.1	56602.3
A0A068UPK9	A0A068UPK9_COFCA	GSCOC_T00031225001	Heparanase-like protein 3	291063	260535	287326	245996	270880	293930
A0A068UPM0	A0A068UPM0_COFCA	GSCOC_T00030887001	Eukaryotic translation initiation factor 5A	3.15747e+06	3.57241e+06	3.03386e+06	4.1818e+06	3.57481e+06	3.23394e+06
A0A068UPQ8	A0A068UPQ8_COFCA	GSCOC_T00031149001	MBD domain-containing protein	1.03985e+06	1.34879e+06	1.14169e+06	1.83168e+06	1.4554e+06	977058
A0A068UPR7	A0A068UPR7_COFCA	GSCOC_T00030977001	NADP-dependent oxidoreductase domain-containing protein	169202	525114	132115	557001	468342	151852
A0A068UPR7;A0A068VH47;A0A068VL06	A0A068UPR7_COFCA;A0A068VH47_COFCA;A0A068VL06_COFCA	GSCOC_T00007031001;GSCOC_T00009570001;GSCOC_T00030977001	NADP-dependent oxidoreductase domain-containing protein	95903	308558	79050	334184	293436	107898
A0A068UPR7;A0A068VH47;A0A068VL06;A0A068UPY2	A0A068UPR7_COFCA;A0A068UPY2_COFCA;A0A068VH47_COFCA;A0A068VL06_COFCA	GSCOC_T00007031001;GSCOC_T00009570001;GSCOC_T00030977001;GSCOC_T00030979001	NADP-dependent oxidoreductase domain-containing protein	410506	1.03125e+06	233347	1.17068e+06	880776	258874
A0A068UPR7;A0A068VL06	A0A068UPR7_COFCA;A0A068VL06_COFCA	GSCOC_T00007031001;GSCOC_T00030977001	NADP-dependent oxidoreductase domain-containing protein	324332	587683	336590	390683	405912	417242
A0A068UPR7;A0A068VMT9	A0A068UPR7_COFCA;A0A068VMT9_COFCA	GSCOC_T00000757001;GSCOC_T00030977001	NADP-dependent oxidoreductase domain-containing protein	26573.2	87536.3	54070	88333.6		130899
A0A068UPZ8;A0A068UP63;A0A068UPT5	A0A068UP63_COFCA;A0A068UPT5_COFCA;A0A068UPZ8_COFCA	GSCOC_T00031008001;GSCOC_T00031011001;GSCOC_T00031012001	Bet v I/Major latex protein domain-containing protein	521356	1.37745e+06	479736	1.45171e+06	1.38022e+06	539028
A0A068UQ51	A0A068UQ51_COFCA	GSCOC_T00030131001	Translation elongation factor EF1B beta/delta subunit guanine nucleotide exchange domain-containing protein	89865.9	71618.4	70161.6	106350	73214.2	70927.6
A0A068UQ51;A0A068TQE1	A0A068TQE1_COFCA;A0A068UQ51_COFCA	GSCOC_T00022681001;GSCOC_T00030131001	Translation elongation factor EF1B beta/delta subunit guanine nucleotide exchange domain-containing protein	181949		275937	54414.9	37009.4	195458
A0A068UQ56	A0A068UQ56_COFCA	GSCOC_T00030139001	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	139823	168340	139642	132758	158111	153901
A0A068UQP4	A0A068UQP4_COFCA	GSCOC_T00031388001	thioredoxin-dependent peroxiredoxin	295194	1.51089e+06	141516	1.62424e+06	1.27686e+06	
A0A068UQZ6	A0A068UQZ6_COFCA	GSCOC_T00031977001	Photosystem I reaction center subunit N, chloroplastic		231276		203257	185255	
A0A068UR91;A0A068UB31	A0A068UB31_COFCA;A0A068UR91_COFCA	GSCOC_T00021012001;GSCOC_T00031703001	aconitate hydratase	527686	1.06559e+06	537267	760594	751069	770450
A0A068URB4	A0A068URB4_COFCA	GSCOC_T00031754001	SIS domain-containing protein	1.43678e+06	4.63825e+06	1.42983e+06	4.45572e+06	4.37344e+06	1.47819e+06
A0A068URN4	A0A068URN4_COFCA	GSCOC_T00031893001	Plant heme peroxidase family profile domain-containing protein		212509		229694	206557	
A0A068URN4;A0A068U0C5	A0A068U0C5_COFCA;A0A068URN4_COFCA	GSCOC_T00031893001;GSCOC_T00037161001	Peroxidase		17065.3		423538	19579.5	
A0A068USG7	A0A068USG7_COFCA	GSCOC_T00033601001	Eukaryotic translation initiation factor 5B	42163.3	10142.5	59856	12719.6	12136.3	14216.5
A0A068USH6	A0A068USH6_COFCA	GSCOC_T00033615001	Actin	80333.8	440824		407470	485233	66189
A0A068USW1;A0A068UUK6	A0A068USW1_COFCA;A0A068UUK6_COFCA	GSCOC_T00034000001;GSCOC_T00035586001	PROP1-like PPR domain-containing protein		87677		45118.4	61526.7	
A0A068USW5	A0A068USW5_COFCA	GSCOC_T00033655001	Uncharacterized protein	1.09541e+08	8.4321e+07	8.25541e+07	9.24287e+07	9.09237e+07	8.99161e+07
A0A068USY3	A0A068USY3_COFCA	GSCOC_T00033572001	Peptidase A1 domain-containing protein	468453	2.28999e+06	507498	2.30846e+06	2.22518e+06	523424
A0A068UT16	A0A068UT16_COFCA	GSCOC_T00031553001	Uncharacterized protein	297883	274622	300614	306133	280791	332902
A0A068UT16;A0A068VB15	A0A068UT16_COFCA;A0A068VB15_COFCA	GSCOC_T00003882001;GSCOC_T00031553001	Uncharacterized protein	52499		323285	74242.8	41452	48474.3
A0A068UT18	A0A068UT18_COFCA	GSCOC_T00033726001	Probable glutathione S-transferase	81434.6		75990		126639	69347.6
A0A068UT18;A0A068UT71	A0A068UT18_COFCA;A0A068UT71_COFCA	GSCOC_T00033723001;GSCOC_T00033726001	Probable glutathione S-transferase	19114.8	33199.5	40000.3	94593.4	104197	84768.6
A0A068UU27	A0A068UU27_COFCA	GSCOC_T00034196001	Phosphoribulokinase			300823			114474
A0A068UUF7	A0A068UUF7_COFCA	GSCOC_T00035257001	UTP-monosaccharide-1-phosphate uridylyltransferase	6839.49	45234.3	4305.64	478610	277888	6454.92
